service,category,ports,iana_descriptions,nmap_descriptions,iana_references,rationale,additional_source,evidence_basis,cisco_category,cisco_subcategory,cisco_source
citysearch,other,3974/tcp; 3974/udp,,Remote Applicant Tracking Service | xk22 | Remote Applicant Tracking Service,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cl-1,other,172/tcp; 172/udp,"Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1"".",Network Innovations CL/1 | cl/1 | Network Innovations CL/1,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cl-db-attach,database,4135/tcp; 4135/udp,Classic Line Database Server Attach,Classic Line Database Server Attach,,Documented purpose: Database,,registry description / named protocol interpretation,,,
cl-db-remote,database,4137/tcp; 4137/udp,Classic Line Database Server Remote,Classic Line Database Server Remote,,Documented purpose: Database,,registry description / named protocol interpretation,,,
cl-db-request,database,4136/tcp; 4136/udp,Classic Line Database Server Request,Classic Line Database Server Request,,Documented purpose: Database,,registry description / named protocol interpretation,,,
clariion-evr01,other,6389/tcp; 6389/udp,clariion-evr01,,,"A likely purpose can be guessed from the abbreviated product/service name, but the available description is insufficient for a defensible specific assignment.",,fallback; see rationale,,,
classic,other,9087/tcp; 9087/udp,Classic Data Server,Classic Data Server,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cleanerliverc,other,3481/tcp; 3481/udp,CleanerLive remote ctrl,CleanerLive remote ctrl,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
clearcase,development,371/tcp; 371/udp,Clearcase,,,"Source control, compiler/build/test tooling, debugging, code modeling, or development support.",,registry description / named protocol interpretation,business-and-productivity-tools,enterprise-transactional-apps,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
clearvisn,other,2052/tcp; 2052/udp,clearVisn Services Port,clearVisn Services Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
clever-ctrace,other,6687/tcp,CleverView for cTrace Message Service,CleverView for cTrace Message Service,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
clever-tcpip,other,6688/tcp,CleverView for TCP/IP Message Service,CleverView for TCP/IP Message Service,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cleverdetect,other,6690/tcp,CLEVERDetect Message Service,CLEVERDetect Message Service,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
client-ctrl,management,3730/tcp; 3730/udp,Client Control,Client Control,,"System/device management, diagnostics, or configuration. See individual service documentation before integration.",,registry description / named protocol interpretation,,,
client-wakeup,management,9694/tcp; 9694/udp,T-Mobile Client Wakeup Message,T-Mobile Client Wakeup Message,,Documented purpose: Wakeup,,registry description / named protocol interpretation,,,
cloanto-lm,licensing,3397/udp,Cloanto License Manager,Cloanto License Manager,,Software license management/verification identified in the source description.,,registry description / named protocol interpretation,,,
cloanto-net-1,other,356/tcp; 356/udp,Cloanto Net 1,Cloanto Net 1,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
close-combat,gaming,1944/tcp; 1944/udp,close-combat,,,"Named game, multiplayer transport, game lobby, or game server endpoint.",,registry description / named protocol interpretation,,,
cloudcheck,management,45514/tcp,ASSIA CloudCheck WiFi Management System,cloudcheck-ping | ASSIA CloudCheck WiFi Management System | ASSIA CloudCheck WiFi Management keepalive,,Documented purpose: Management,,registry description / named protocol interpretation,,,
cloudsignaling,other,7550/tcp,Cloud Signaling Service,Cloud Signaling Service,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
clp,network,2567/tcp; 2567/udp,Cisco Line Protocol,Cisco Line Protocol,,"Network control, routing, encapsulation, or transport infrastructure.",,registry description / named protocol interpretation,,,
cluster-disc,other,3374/tcp; 3374/udp,Cluster Disc,Cluster Disc,,Cluster communication is product-specific; the short source description does not establish a more precise primary function.,,fallback; see rationale,,,
clusterxl,network,18243/tcp,Checkpoint router state backup,Checkpoint router state backup,,"Network signaling, routing, redundancy, or forwarding support.",,registry description / named protocol interpretation,,,
clutild,other,7174/tcp; 7174/udp,Clutild,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
clvm-cfg,other,1476/tcp; 1476/udp,clvm-cfg,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cm,other,5910/tcp; 5910/udp,Context Management,Context Management | ats-atn | Context Management | Air Traffic Services applications using ATN,,"Specialized application or insufficiently specific purpose; generic words such as media, router, management, or discovery do not establish a matching core service function.",,fallback; see rationale,,,
cma,management,1050/udp,CORBA Management Agent,CORBA Management Agent,,"The named endpoint administers, configures, monitors, or licenses another service; classify the endpoint role.",,registry description / named protocol interpretation,,,
cmadmin,other,2617/tcp; 2617/udp,Clinical Context Managers,Clinical Context Managers,,"Specialized business, scientific, or medical application; outside the selected core taxonomy.",,fallback; see rationale,,,
cmc-port,other,3576/tcp; 3576/udp,Coalsere CMC Port,Coalsere CMC Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cmip-agent,management,164/tcp,CMIP/TCP Agent,CMIP/TCP Agent,,"System/device management, diagnostics, or configuration. See individual service documentation before integration.",,registry description / named protocol interpretation,net-admin,network-management,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
cmip-man,management,163/tcp; 163/udp,CMIP/TCP Manager,CMIP/TCP Manager,,Documented purpose: Manager,,registry description / named protocol interpretation,net-admin,network-management,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
cmmdriver,other,1294/tcp; 1294/udp,CMMdriver,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cmtp-mgt,management,8501/tcp,CYTEL Message Transfer Management,cmtp-av | CYTEL Message Transfer Management | CYTEL Message Transfer Audio and Video,,Documented purpose: Management,,registry description / named protocol interpretation,,,
cnap,other,7262/tcp; 7262/udp,Calypso Network Access Protocol,Calypso Network Access Protocol,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cnckadserver,other,7168/tcp,cncKadServer DB & Inventory Services,cncKadServer DB & Inventory Services,,"Specialized application or insufficiently specific purpose; generic words such as media, router, management, or discovery do not establish a matching core service function.",,fallback; see rationale,,,
cncp,network,4785/tcp; 4785/udp,Cisco Nexus Control Protocol,Cisco Nexus Control Protocol,,"Network control, routing, encapsulation, or transport infrastructure.",,registry description / named protocol interpretation,,,
cnhrp,network,1757/tcp; 1757/udp,cnhrp,,,"Network control, routing, encapsulation, or transport infrastructure.",,registry description / named protocol interpretation,,,
cnrp,other,2757/tcp; 2757/udp,CNRP,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cnrprotocol,discovery,1096/tcp; 1096/udp,Common Name Resolution Protocol,Common Name Resolution Protocol,,Documented purpose: Name Resolution,,registry description / named protocol interpretation,,,
cns-srv-port,other,2976/tcp; 2976/udp,CNS Server Port,CNS Server Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
coap,web,5683/tcp; 5683/udp,Constrained Application Protocol | Constrained Application Protocol (CoAP),Constrained Application Protocol | Constrained Application Protocol | Constrained Application Protocol (CoAP),[RFC7252] | [RFC8323],"CoAP is a Web transfer protocol for constrained devices, not a dedicated industrial control protocol.",https://www.rfc-editor.org/rfc/rfc7252.html,additional primary documentation,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
coaps,web,5684/tcp; 5684/udp,Constrained Application Protocol (CoAP) | DTLS-secured CoAP,DTLS-secured CoAP | Constrained Application Protocol (CoAP) | DTLS-secured Constrained Application Protocol,[RFC7252] | [RFC7301][RFC8323],"CoAP is a Web transfer protocol for constrained devices, not a dedicated industrial control protocol.",https://www.rfc-editor.org/rfc/rfc7252.html,additional primary documentation,,,
coauthor,database,1529/udp,oracle,oracle,,Named database engine/access endpoint.,,registry description / named protocol interpretation,database,enterprise-transactional-apps,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
cockroach,database,26257/tcp,CockroachDB,CockroachDB,,Named database engine/access endpoint.,,registry description / named protocol interpretation,,,
codaauth2,identity,370/tcp; 370/udp,codaauth2,,,Coda authentication service.,,registry description / named protocol interpretation,net-admin,authentication-services,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
codasrv,files,2432/tcp; 2432/udp,codasrv,,,Coda distributed filesystem server endpoints.,https://www.cs.cmu.edu/~coda/docdir/wwos2.pdf,additional primary documentation,,,
codasrv-se,files,2433/tcp; 2433/udp,codasrv-se,,,Coda distributed filesystem server endpoints.,https://www.cs.cmu.edu/~coda/docdir/wwos2.pdf,additional primary documentation,,,
codemeter-cmwan,licensing,22351/tcp,TPC/IP requests of copy protection software to a server,TPC/IP requests of copy protection software to a server,,CodeMeter software licensing.,https://cdn.wibu.com/fileadmin/wibu_downloads/KEYnote_Magazine/KEYnote_23/WibuSystems-KEYnote-23_en.pdf,additional primary documentation,,,
codima-rtp,middleware,2415/tcp; 2415/udp,Codima Remote Transaction Protocol,Codima Remote Transaction Protocol,,"General application messaging, distributed objects, RPC, transaction coordination, or middleware services.",,registry description / named protocol interpretation,,,
cogitate,other,3039/tcp; 3039/udp,"Cogitate, Inc.","Cogitate, Inc.",,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cognex-dataman,management,44444/tcp,Cognex DataMan Management Protocol,Cognex DataMan Management Protocol,,Documented purpose: Management,,registry description / named protocol interpretation,,,
cognex-insight,other,1069/tcp; 1069/udp,COGNEX-INSIGHT,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cognima,other,3779/tcp; 3779/udp,Cognima Replication,Cognima Replication,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cogsys-lm,licensing,3377/tcp; 3377/udp,Cogsys Network License Manager,Cogsys Network License Manager,,Software license management/verification identified in the source description.,,registry description / named protocol interpretation,,,
coherence,database,7574/tcp,Oracle Coherence Cluster Service,coherence-disc | Oracle Coherence Cluster Service | Oracle Coherence Cluster discovery service,,Oracle Coherence distributed cache and in-memory data grid.,https://docs.oracle.com/middleware/12213/coherence/docs.htm,additional primary documentation,,,
cohesity-agent,storage,21213/tcp,Cohesity backup agents,Cohesity backup agents,,Documented purpose: backup,,registry description / named protocol interpretation,,,
coldfusion-auth,identity,44442/tcp; 44443/tcp,,ColdFusion Advanced Security/Siteminder Authentication Port (by Allaire/Netegrity),,Documented purpose: Authentication,,registry description / named protocol interpretation,,,
collaber,other,7689/tcp; 7689/udp,Collaber Network Service,Collaber Network Service,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
collaborator,other,622/tcp; 622/udp,Collaborator,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
colubris,management,3490/tcp; 3490/udp,Colubris Management Port,Colubris Management Port,,Documented purpose: Management,,registry description / named protocol interpretation,,,
com-bardac-dw,other,48556/tcp; 48556/udp,com-bardac-dw,,,"A likely purpose can be guessed from the abbreviated product/service name, but the available description is insufficient for a defensible specific assignment.",,fallback; see rationale,,,
combox-web-acc,other,2534/tcp; 2534/udp,Combox Web Access,Combox Web Access,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
comcam-io,media,3605/tcp; 3605/udp,ComCam IO Port,ComCam IO Port,,"Audio/video, voice calling, audiovisual device operation, or broadcast media workflow.",,registry description / named protocol interpretation,,,
commandport,other,3416/tcp; 3416/udp,AirMobile IS Command Port,AirMobile IS Command Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
commerce,other,542/tcp; 542/udp,commerce,,,"Specialized business, scientific, or medical application; outside the selected core taxonomy.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
commlinx-avl,other,1190/tcp; 1190/udp,CommLinx GPS / AVL System,CommLinx GPS / AVL System,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
commonspace,other,1592/tcp; 1592/udp,commonspace,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
commplex-link,other,5001/tcp; 5001/udp,,,,No purpose description is available for the named service in the reviewed registry snapshots.,,fallback; see rationale,,,
commtact-http,web,20002/tcp; 20002/udp,Commtact HTTP,Commtact HTTP,,Documented purpose: HTTP,,registry description / named protocol interpretation,,,
commtact-https,web,20003/tcp; 20003/udp,Commtact HTTPS,Commtact HTTPS,,Documented purpose: HTTPS,,registry description / named protocol interpretation,,,
community,other,2459/tcp; 2459/udp,,xrpl,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
comotionback,storage,2262/tcp; 2262/udp,CoMotion Backup Server,CoMotion Backup Server,,Documented purpose: Backup,,registry description / named protocol interpretation,,,
comotionmaster,other,2261/tcp; 2261/udp,CoMotion Master Server,CoMotion Master Server,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
compaq-evm,other,619/tcp; 619/udp,Compaq EVM,Compaq EVM,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
compaq-https,management,2381/tcp; 2381/udp,Compaq HTTPS,Compaq HTTPS,,"Named endpoint provides administration, configuration, diagnostics, monitoring, or system management; its transport does not determine the category.",,registry description / named protocol interpretation,,,
compaq-scp,other,2766/udp,Compaq SCP,Compaq SCP,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
compaq-wcp,other,2555/tcp; 2555/udp,Compaq WCP,Compaq WCP,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
compaqdiag,management,2301/tcp; 49400/tcp,,Compaq Web-based management | cpq-wbem | Compaq remote diagnostic/management | Compaq HTTP,,Documented purpose: management,,registry description / named protocol interpretation,,,
composit-server,other,2417/tcp; 2417/udp,Composit Server,Composit Server,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
compressnet,management,2/tcp; 2/udp; 3/tcp; 3/udp,Management Utility/Compression Process,Compression Process | Management Utility,,Documented purpose: Management,,registry description / named protocol interpretation,net-admin,network-management,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
compx-lockview,other,4308/tcp; 4308/udp,CompX-LockView,,,"A likely purpose can be guessed from the abbreviated product/service name, but the available description is insufficient for a defensible specific assignment.",,fallback; see rationale,,,
comscm,other,437/tcp; 437/udp,comscm,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
con,other,759/tcp; 759/udp,,,,No purpose description is available for the named service in the reviewed registry snapshots.,,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
concert,other,786/tcp; 786/udp,,,,No purpose description is available for the named service in the reviewed registry snapshots.,,fallback; see rationale,,,
conclave-cpp,other,2491/tcp; 2491/udp,Conclave CPP,Conclave CPP,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
concomp1,other,1802/tcp; 1802/udp,ConComp1,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
concurrent-lm,other,1648/tcp; 1648/udp,concurrent-lm,,,"The source only repeats an abbreviated name. Software licensing is plausible, but not established by this evidence.",,fallback; see rationale,,,
condor,other,9618/tcp; 9618/udp,Condor Collector Service,Condor Collector Service,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
conductor,other,6970/tcp,Conductor test coordination protocol,conductor-mpx | Conductor test coordination protocol | conductor for multiplex,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
conf,other,2008/tcp,,terminaldb,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
conference,chat,531/tcp; 531/udp,chat,chat,,Documented purpose: chat,,registry description / named protocol interpretation,instant-messaging,consumer-multimedia-messaging,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
conferencetalk,media,1713/tcp; 1713/udp,ConferenceTalk,,,"Audio/video, voice calling, audiovisual device operation, or broadcast media workflow.",,registry description / named protocol interpretation,,,
config-port,management,3577/tcp; 3577/udp,Configuration Port,Configuration Port,,Documented purpose: Configuration,,registry description / named protocol interpretation,,,
confluent,licensing,1484/tcp; 1484/udp,Confluent License Manager,Confluent License Manager,,Software license management/verification identified in the source description.,,registry description / named protocol interpretation,,,
connect,other,2137/tcp; 2137/udp,CONNECT,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
connect-client,other,3441/tcp; 3441/udp,OC Connect Client,OC Connect Client,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
connect-proxy,vpn,5490/tcp,,Many HTTP CONNECT proxies,,"Proxy, connection traversal relay, or VPN tunneling service.",,registry description / named protocol interpretation,,,
connect-server,other,3442/tcp; 3442/udp,OC Connect Server,OC Connect Server,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
connected,other,16384/tcp; 16384/udp,Connected Corp,Connected Corp,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
connection,other,2607/tcp; 2607/udp,Dell Connection,Dell Connection,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
connendp,storage,693/tcp; 693/udp,almanid Connection Endpoint,almanid Connection Endpoint,,Endpoint of a directory backup product. Corroborated against Cisco protocol reference.,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html,Cisco protocol-reference corroboration,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
connlcli,other,1358/tcp; 1358/udp,CONNLCLI,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
conspiracy,middleware,4692/tcp; 4692/udp,Conspiracy messaging,Conspiracy messaging,,Documented purpose: messaging,,registry description / named protocol interpretation,,,
consul-insight,security,5992/tcp; 5992/udp,Consul InSight Security,Consul InSight Security,,"Security inspection, threat detection/prevention, vulnerability assessment, security policy, or security product operations.",,registry description / named protocol interpretation,,,
contamac_icm,other,4846/tcp; 4846/udp,Contamac ICM Service,Contamac ICM Service | contamac-icm | Contamac ICM Service,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
contclientms,middleware,4665/tcp; 4665/udp,Container Client Message Service,Container Client Message Service,,"General application messaging, distributed objects, RPC, transaction coordination, or middleware services.",,registry description / named protocol interpretation,,,
contentserver,web,454/tcp; 454/udp; 3365/tcp; 3365/udp,Content Server | ContentServer,Content Server,,Website content contribution service. Corroborated against Cisco protocol reference.,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html,Cisco protocol-reference corroboration,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
continuus,development,5412/tcp; 5412/udp,Continuus,,,"Source control, compiler/build/test tooling, debugging, code modeling, or development support.",,registry description / named protocol interpretation,,,
controlit,remote,799/tcp,,Remotely possible,,"Remote execution, interactive terminal, desktop/display access, or associated control channel.",,registry description / named protocol interpretation,,,
controlone-con,other,7551/tcp,ControlONE Console signaling,ControlONE Console signaling,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
converge,middleware,4774/tcp,Converge RPC,Converge RPC,,Documented purpose: RPC,,registry description / named protocol interpretation,,,
coord-svr,middleware,2565/tcp; 2565/udp,Coordinator Server,Coordinator Server,,"General application messaging, distributed objects, RPC, transaction coordination, or middleware services.",,registry description / named protocol interpretation,,,
cops,network,3288/tcp; 3288/udp,COPS,,,"Network control, routing, encapsulation, or transport infrastructure.",,registry description / named protocol interpretation,,,
cops-tls,network,3183/tcp; 3183/udp,COPS/TLS,COPS/TLS,,"Network control, routing, encapsulation, or transport infrastructure.",,registry description / named protocol interpretation,,,
copy,files,8445/tcp,Port for copy peer sync feature,copy-disc | Port for copy peer sync feature | Port for copy discovery,,"File/photo/object transfer, synchronization, network filesystem access, or file-sharing support.",,registry description / named protocol interpretation,,,
copycat,database,9093/tcp,Copycat database replication service,Copycat database replication service,,Documented purpose: database,,registry description / named protocol interpretation,,,
cora,other,19220/tcp,Client Connection Management and Data Exchange Service,cora-disc | Client Connection Management and Data Exchange Service | Discovery for Client Connection Management and Data Exchange Service,,"Specialized application or insufficiently specific purpose; generic words such as media, router, management, or discovery do not establish a matching core service function.",,fallback; see rationale,,,
corba-iiop,middleware,683/tcp; 683/udp,CORBA IIOP,CORBA IIOP,,Documented purpose: CORBA,,registry description / named protocol interpretation,inter-process-rpc,enterprise-transactional-apps,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
corba-iiop-ssl,middleware,684/tcp; 684/udp,CORBA IIOP SSL,CORBA IIOP SSL,,Documented purpose: CORBA,,registry description / named protocol interpretation,inter-process-rpc,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
corbaloc,middleware,2809/tcp; 2809/udp,CORBA LOC,CORBA LOC | Corba | CORBA LOC,,Documented purpose: CORBA,,registry description / named protocol interpretation,,,
core-of-source,gaming,8767/tcp,Online mobile multiplayer game,Online mobile multiplayer game,,Documented purpose: multiplayer,,registry description / named protocol interpretation,,,
corel_vncadmin,management,2654/tcp; 2654/udp,Corel VNC Admin,Corel VNC Admin | corel-vncadmin | Corel VNC Admin,,Documented purpose: Admin,,registry description / named protocol interpretation,,,
corelccam,other,4300/tcp; 4300/udp,Corel CCam,Corel CCam,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
corelvideo,media,1566/tcp; 1566/udp,CORELVIDEO,,,"Audio/video, voice calling, audiovisual device operation, or broadcast media workflow.",,registry description / named protocol interpretation,,,
corerjd,other,284/tcp; 284/udp,corerjd,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
cosir,management,10321/tcp,Computer Op System Information Report,Computer Op System Information Report,,"System/device management, diagnostics, or configuration. See individual service documentation before integration.",,registry description / named protocol interpretation,,,
cosmocall,media,2324/tcp; 2324/udp,Cosmocall,,,"Audio/video, voice calling, audiovisual device operation, or broadcast media workflow.",,registry description / named protocol interpretation,,,
couchdb,database,5984/tcp; 5984/udp,CouchDB,,,Documented purpose: CouchDB,,registry description / named protocol interpretation,,,
courier,middleware,530/tcp; 530/udp,rpc,rpc,,Documented purpose: rpc,,registry description / named protocol interpretation,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
covia,other,64/tcp; 64/udp,Communications Integrator (CI),Communications Integrator (CI),,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
cp-cluster,security,8116/tcp; 8116/udp,Check Point Clustering,Check Point Clustering,,"Security inspection, threat detection/prevention, vulnerability assessment, security policy, or security product operations.",,registry description / named protocol interpretation,,,
cp-spxdpy,other,4378/tcp; 4378/udp,Cambridge Pixel SPx Display,Cambridge Pixel SPx Display,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cp-spxrpts,other,5079/tcp; 5079/udp,Cambridge Pixel SPx Reports,Cambridge Pixel SPx Reports,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cp-spxsvr,other,4377/tcp; 4377/udp,Cambridge Pixel SPx Server,Cambridge Pixel SPx Server,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cpdi-pidas-cm,other,3609/tcp; 3609/udp,CPDI PIDAS Connection Mon,CPDI PIDAS Connection Mon,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cpdlc,other,5911/tcp; 5911/udp,Controller Pilot Data Link Communication,Controller Pilot Data Link Communication | ats-acars | Controller Pilot Data Link Communication | Air Traffic Services applications using ACARS,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cplscrambler-al,management,1088/tcp; 1088/udp,CPL Scrambler Alarm Log,CPL Scrambler Alarm Log,,"System/device management, diagnostics, or configuration. See individual service documentation before integration.",,registry description / named protocol interpretation,,,
cplscrambler-in,other,1087/tcp; 1087/udp,CPL Scrambler Internal,CPL Scrambler Internal,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cplscrambler-lg,management,1086/tcp; 1086/udp,CPL Scrambler Logging,CPL Scrambler Logging,,Documented purpose: Logging,,registry description / named protocol interpretation,,,
cppdp,other,4051/tcp; 4051/udp,Cisco Peer to Peer Distribution Protocol,Cisco Peer to Peer Distribution Protocol,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cpq-tasksmart,other,3201/tcp; 3201/udp,CPQ-TaskSmart,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cpq-wbem,management,2301/udp,Compaq HTTP,Compaq HTTP,,"Named endpoint provides administration, configuration, diagnostics, monitoring, or system management; its transport does not determine the category.",,registry description / named protocol interpretation,business-and-productivity-tools,network-management,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/c.html
cpqrpm-agent,other,3256/tcp; 3256/udp,Compaq RPM Agent Port,Compaq RPM Agent Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
cpqrpm-server,other,3257/tcp; 3257/udp,Compaq RPM Server Port,Compaq RPM Server Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
